"","Year","Yr","ATOS","DnsBay","DnsNear","DnsOff","DnsWayoff","Pupratio","LinDens","Trend5yr"
"1",1985,3,368,0,3.73922418736947,0,0,0.104477611940299,2.24242424242424,NA
"2",1985,3,369,0,4.10812100487507,0,0,0.0945945945945946,2.25,NA
"3",1985,3,370,0,5.1952286817285,0,0,0.105882352941176,2.41025641025641,NA
"4",1985,3,371,0,5.36613357987403,0,0,0.0967741935483871,2.42857142857143,NA
"5",1985,3,372,0,5.00839134121576,0,0,0.0967741935483871,2.26666666666667,NA
"6",1985,3,373,0,5.40887086302207,0,0,0.116504854368932,2.39583333333333,NA
"7",1985,3,374,0,6.32612546681841,0,0,0.131147540983607,2.70588235294118,NA
"8",1985,3,375,0,7.54023413022304,0,0,0.157894736842105,3.25925925925926,NA
"9",1985,3,376,0,7.79620725024757,0,0,0.145454545454545,3.31578947368421,NA
"10",1985,3,377,0,7.6362558429255,0,0,0.140350877192982,3.25,NA
"11",1985,3,378,0,7.86752548378761,0,0,0.143646408839779,3.28571428571429,NA
"12",1985,3,379,0,8.08733663017911,0,0,0.152173913043478,3.36507936507937,NA
"13",1985,3,380,0,8.08733663017911,0,0,0.152173913043478,3.36507936507937,NA
"14",1985,3,381,0,8.46045557977275,0,0,0.151832460732984,3.49206349206349,NA
"15",1985,3,382,0,9.43445356398786,0,0,0.14622641509434,3.85714285714286,NA
"16",1985,3,383,0,9.35996929295533,0,0,0.148325358851675,3.80952380952381,NA
"17",1985,3,384,0,9.27560983409467,0,0,0.150485436893204,3.76190476190476,NA
"18",1985,3,385,0,9.06884026381021,0,0,0.14572864321608,3.61904761904762,NA
"19",1985,3,386,0,9.22933264358321,0,0,0.136792452830189,3.82539682539683,NA
"20",1985,3,387,0,9.20504620674117,0,0,0.137440758293839,3.80952380952381,NA
"21",1985,3,388,0,8.26738187416685,0,0,0.145251396648045,3.25396825396825,NA
"22",1985,3,389,0,8.86506113929078,0,0,0.145077720207254,3.50793650793651,NA
"23",1985,3,390,0,8.98870724281419,0,0,0.146596858638743,3.47619047619048,NA
"24",1985,3,391,0,8.12011101405374,0,0,0.144444444444444,3.26984126984127,NA
"25",1985,3,392,0,7.86032175098026,0,0,0.148571428571429,3.19047619047619,NA
"26",1985,3,393,0,7.99598013536023,0,0,0.151685393258427,3.25396825396825,NA
"27",1985,3,394,0,7.55942515603111,0,0,0.13953488372093,3.11111111111111,NA
"28",1985,3,395,0,6.59132111863758,0,0,0.12987012987013,2.76190476190476,NA
"29",1985,3,396,0,5.2755881256599,0,0,0.096,2.17460317460317,NA
"30",1985,3,397,0,5.18372360588395,0,0,0.102362204724409,2.22222222222222,NA
"31",1985,3,398,0,5.08615030240989,0,0,0.104,2.19047619047619,NA
