"","PreyType","E_kcal_m","E_SD","Pre2013_Effort","Pre2013_Effort_SD","Post2013_Effort","Post2013_Effort_SD"
"1","urchin",7.38617331726316,0.899564752651475,16.8658258890422,1.83933222779532,29.4281516635327,6.59735690248573
"2","mussel",6.12824678421053,0.705862464872725,6.81627811227011,1.67678135695619,17.4333886681145,9.01731768296766
"3","clam",7.52489084926316,0.990712625218197,7.41103714193525,1.3496117569125,5.72000000701622,2.08625918588406
"4","abalone",21.4288040157895,2.56783231387766,3.20614317297244,1.31526288565404,3.87587342029099,2.2886693237041
"5","cancrid_crab",11.9364061108421,1.50553208040534,10.7736228139633,1.92167354323677,6.99071496115323,3.38372949182593
"6","kelp_crab",8.204209598,1.15613855825642,13.1294801289312,3.74852062619025,8.5933430321338,1.35119406888963
"7","crab_other",5.33334430294737,0.79892593555794,16.5781157482189,2.60950899795646,11.4004147401383,1.77636973748139
"8","snail",5.06464589778947,0.650939199821906,6.50989242166233,1.95092998402094,6.37600223910681,2.97377311780715
"9","star",15.9946481151579,2.49820023869938,3.4266959871303,1.43560281968088,0.940903166173209,0.647722008748862
"10","cephalapod",27.5192299221053,0.866927361992544,1.29993636267892,0.589273540132167,0.928037947722534,0.434244076164859
"11","other",3.77705065294737,0.431273453433305,13.982972221195,5.04040167161775,8.31317015461771,2.65837211433881
