year,baseline_region,site,species,site_counts_total,density_60m2_mean,density_60m2_sd,density_m2_mean,density_m2_sd
2003,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,17,4.25,2.217355782608345,0.07083333333333333,0.036955929710139085
2003,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,5,1.6666666666666667,0.5773502691896257,0.027777777777777776,0.009622504486493762
2003,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,16,4,4.760952285695233,0.06666666666666667,0.07934920476158722
2003,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,5,2.5,0.7071067811865476,0.04166666666666667,0.011785113019775794
2003,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,24,8,1.7320508075688772,0.13333333333333333,0.02886751345948128
2003,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,13,3.25,4.5,0.05416666666666667,0.075
2003,CENTRAL,MONASTERY_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2003,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
2003,CENTRAL,PESCADERO_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2003,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,4,1.3333333333333333,0.5773502691896257,0.022222222222222223,0.009622504486493762
2003,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,31,15.5,17.67766952966369,0.2583333333333333,0.2946278254943948
2003,CENTRAL,STILLWATER_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2003,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2003,CENTRAL,STILLWATER_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2003,CENTRAL,WESTON_UC,Mesocentrotus franciscanus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2004,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,5,5,NA,0.08333333333333333,NA
2004,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,35,5.833333333333334,8.975893641675277,0.09722222222222224,0.14959822736125464
2004,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,6,3,2.8284271247461903,0.05,0.04714045207910317
2004,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,13,3.25,2.8722813232690143,0.05416666666666667,0.04787135538781691
2004,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,3,3,NA,0.05,NA
2004,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,53,10.6,6.465291950097845,0.17666666666666667,0.10775486583496409
2004,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,10,3.3333333333333335,3.2145502536643185,0.05555555555555555,0.053575837561071975
2004,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2004,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,10,5,2.8284271247461903,0.08333333333333334,0.04714045207910317
2004,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,2,1,0,0.016666666666666666,0
2004,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,3,3,NA,0.05,NA
2004,CENTRAL,STILLWATER_UC,Strongylocentrotus purpuratus,6,2,1,0.03333333333333333,0.01666666666666667
2004,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2004,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,20,5,7.3484692283495345,0.08333333333333333,0.12247448713915893
2005,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,6,3,2.8284271247461903,0.05,0.04714045207910317
2005,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,9,4.5,2.1213203435596424,0.07500000000000001,0.03535533905932738
2005,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2005,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,3,3,NA,0.05,NA
2005,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,19,4.75,6.238322424070967,0.07916666666666666,0.1039720404011828
2005,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
