"","x1","year","atos_id","dns_bay","dns_near","dns_off","dns_wayoff","pupratio","lin_dens","area_m2","area_km2","area_bay","area_near","area_off","area_wayoff","section","total_counts","pup_prop","pup_counts","n_indep"
"1",1,1985,"368",0,3.73922418736947,0,0,0.104477611940299,2.24242424242424,"1526906.38469493",1.5269064,0,0.62722825595,0.89885000443,0,3,2.34534706564981,0.094594594594595,0.221857154858767,2.12348991079104
"2",2,1985,"369",0,4.10812100487507,0,0,0.0945945945945946,2.25,"1064110.76823465",1.0641108,0,0.64533008461,0.41820507255,0,3,2.65109407566415,0.0864197530864198,0.229106895427766,2.42198718023638
"3",3,1985,"370",0,5.1952286817285,0,0,0.105882352941176,2.41025641025641,"1013541.80981549",1.0135418,0,0.54597915993,0.46701284511,0,3,2.83648659129437,0.0957446808510634,0.2715785034218,2.56490808787257
"4",4,1985,"371",0,5.36613357987403,0,0,0.0967741935483871,2.42857142857143,"927246.37966585",0.9272464,0,0.54641830079,0.38032448471,0,3,2.93215359252693,0.0882352941176471,0.258719434634729,2.6734341578922
"5",5,1985,"372",0,5.00839134121576,0,0,0.0967741935483871,2.26666666666667,"1148043.48519275",1.1480435,0,0.63931682433,0.50810151859,0,3,3.20194884726793,0.0882352941176471,0.282524898288347,2.91942394897958
"6",6,1985,"373",0,5.40887086302207,0,0,0.116504854368932,2.39583333333333,"949512.775963044",0.9495128,0,0.5498355992,0.39915932046,0,4,2.97398975196516,0.104347826086956,0.310329365422451,2.66366038654271
"7",7,1985,"374",0,6.32612546681841,0,0,0.131147540983607,2.70588235294118,"1029706.5317536",1.0297065,0,0.65747870521,0.37166447814,0,4,4.15929278091977,0.115942028985508,0.482236844164613,3.67705593675516
"8",8,1985,"375",0,7.54023413022304,0,0,0.157894736842105,3.25925925925926,"842205.602379724",0.8422056,0,0.55797990993,0.28376382943,0,4,4.20729916083296,0.136363636363636,0.573722612840858,3.63357654799211
"9",9,1985,"376",0,7.79620725024757,0,0,0.145454545454545,3.31578947368421,"961583.629041063",0.9615836,0,0.65357532586,0.30747918653,0,4,5.09540869405265,0.126984126984127,0.647036024641605,4.44837266941105
"10",10,1985,"377",0,7.6362558429255,0,0,0.140350877192982,3.25,"907334.596251402",0.9073346,0,0.59248873638,0.31434546035,0,4,4.52439557504932,0.123076923076923,0.556848686159915,3.96754688888941
"11",11,1985,"378",0,7.86752548378761,0,0,0.143646408839779,3.28571428571429,"989853.585358083",0.9898536,0,0.60822536815,0.38108114294,0,4,4.78522858380623,0.125603864734299,0.601043203763101,4.18418538004313
"12",12,1985,"379",0,8.08733663017911,0,0,0.152173913043478,3.36507936507937,"571102.041105472",0.571102,0,0.2857381012,0.28504751353,0,4,2.31086021247259,0.132075471698113,0.305207952590718,2.00565225988187
"13",13,1985,"380",0,8.08733663017911,0,0,0.152173913043478,3.36507936507937,"602477.003247797",0.602477,0,0.23756631622,0.36457666015,0,4,1.92127877126272,0.132075471698113,0.253753799978095,1.66752497128462
"14",14,1985,"381",0,8.46045557977275,0,0,0.151832460732984,3.49206349206349,"877448.211025909",0.8774482,0,0.35143684433,0.52552406176,0,4,2.97331581054948,0.131818181818182,0.391937084117885,2.58137872643159
"15",15,1985,"382",0,9.43445356398786,0,0,0.14622641509434,3.85714285714286,"650693.020104109",0.650693,0,0.21786129623,0.43246966857,0,4,2.05540228267214,0.127572016460906,0.262211813838833,1.79319046883331
"16",16,1985,"383",0,9.35996929295533,0,0,0.148325358851675,3.80952380952381,"811519.64173867",0.8115196,0,0.3795820916,0.43148440653,0,4,3.55287672153176,0.129166666666667,0.458913243197853,3.0939634783339
"17",17,1985,"384",0,9.27560983409467,0,0,0.150485436893204,3.76190476190476,"655602.605617475",0.6556026,0,0.36504113784,0.29019418812,0,4,3.38597916799781,0.130801687763713,0.442891789906887,2.94308737809092
"18",18,1985,"385",0,9.06884026381021,0,0,0.14572864321608,3.61904761904762,"772422.474554561",0.7724225,0,0.44949006652,0.32249849311,0,4,4.07635361343931,0.12719298245614,0.518483573639209,3.5578700398001
"19",19,1985,"386",0,9.22933264358321,0,0,0.136792452830189,3.82539682539683,"633919.368498445",0.6339194,0,0.34935746226,0.28420507095,0,4,3.22433623071561,0.120331950207469,0.387990666766609,2.836345563949
"20",20,1985,"387",0,9.20504620674117,0,0,0.137440758293839,3.80952380952381,"893597.320112832",0.8935973,0,0.43504939765,0.45804392194,0,4,4.00464980758316,0.120833333333333,0.483895185082966,3.5207546225002
"21",21,1985,"388",0,8.26738187416685,0,0,0.145251396648045,3.25396825396825,"764577.982065335",0.764578,0,0.32018139426,0.4439641409,0,4,2.64706185535059,0.126829268292683,0.335724918239588,2.31133693711101
"22",22,1985,"389",0,8.86506113929078,0,0,0.145077720207254,3.50793650793651,"895323.613244675",0.8953236,0,0.36106030412,0.53375496723,0,4,3.20082167099472,0.126696832579186,0.405533967365848,2.79528770362888
"23",23,1985,"390",0,8.98870724281419,0,0,0.146596858638743,3.47619047619048,"936841.994394377",0.936842,0,0.41265893071,0.52364861019,0,4,3.70927031928494,0.127853881278538,0.474244607031863,3.23502571225307
"24",24,1985,"391",0,8.12011101405374,0,0,0.144444444444444,3.26984126984127,"759913.263370231",0.7599133,0,0.34033148711,0.41914633711,0,4,2.7635294569112,0.126213592233009,0.3487949799985,2.4147344769127
"25",25,1985,"392",0,7.86032175098026,0,0,0.148571428571429,3.19047619047619,"850789.616905402",0.8507896,0,0.37482558588,0.47547504067,0,4,2.94624970551648,0.129353233830846,0.381106927081735,2.56514277843475
"26",26,1985,"393",0,7.99598013536023,0,0,0.151685393258427,3.25396825396825,"887670.997305557",0.887671,0,0.39494201196,0.49221804039,0,4,3.15794848225136,0.131707317073171,0.415924922052619,2.74202356019874
"27",27,1985,"394",0,7.55942515603111,0,0,0.13953488372093,3.11111111111111,"1199385.01567616",1.199385,0,0.5292431498,0.66945008166,0,4,4.00077398025526,0.122448979591837,0.489890691459827,3.51088328879543
"28",28,1985,"395",0,6.59132111863758,0,0,0.12987012987013,2.76190476190476,"1351047.81097055",1.3510478,0,0.53994266979,0.81032395696,0,4,3.55893552224038,0.114942528735632,0.409073048533378,3.14986247370701
"29",29,1985,"396",0,5.2755881256599,0,0,0.096,2.17460317460317,"1517787.48857287",1.5177875,0,0.88275766731,0.63415255439,0,4,4.65706586749587,0.0875912408759124,0.407918178174821,4.24914768932105
"30",30,1985,"397",0,5.18372360588395,0,0,0.102362204724409,2.22222222222222,"937148.68977353",0.9371487,0,0.46130666381,0.4752991955,0,4,2.39128624274347,0.0928571428571425,0.22204800825475,2.16923823448872
"31",31,1985,"398",0,5.08615030240989,0,0,0.104,2.19047619047619,"1029070.33714906",1.0290703,0,0.55663549601,0.47183844781,0,4,2.83113179636334,0.0942028985507246,0.266700821396546,2.56443097496679
"32",32,1985,"399",0,6.10719825022163,0,0,0.0949367088607595,2.74603174603175,"996543.246104762",0.9965432,0,0.48794664918,0.5080170001,0,4,2.9799869220736,0.0867052023121387,0.258380368965919,2.72160655310768
"33",33,1985,"400",0,6.57637189668428,0,0,0.0892857142857143,2.9047619047619,"620914.27287364",0.6209143,0,0.15485791199,0.4656930846,0,4,1.01840322039024,0.0819672131147541,0.083475673802479,0.934927546587765
"34",34,1985,"401",0,6.63057420399592,0,0,0.0887573964497041,2.92063492063492,"1549382.17093343",1.5493822,0,0.70116728736,0.84731105975,0,4,4.64914172825501,0.0815217391304347,0.379006119151223,4.27013560910379
"35",35,1985,"402",0,7.77869526775082,0,0,0.0918918918918919,3.20634920634921,"1480754.77213382",1.4807548,0,0.46897216137,1.01091655669,0,4,3.64799153235569,0.0841584158415842,0.307009188366568,3.34098234398912
"36",36,1985,"403",0,10.2188522462073,0,0,0.0809523809523809,3.6031746031746,"1724990.3657474",1.7249904,0,0.46802904061,1.25594915887,0,4,4.78271961292775,0.0748898678414096,0.358177239734677,4.42454237319307
